46,2048,Telfin Cream,5,0,0,na,0,1,52.78,60,0,0,,fasle,1,a,Admin,,,,1,1,69,1
47,2049,Telfin Tablet,24,0,0,na,0,1,43.98,50,0,0,,fasle,1,a,Admin,,,,1,1,69,1
48,2050,Vaniflo Cream,5,0,0,na,0,1,1320.09,1500,0,0,,fasle,1,a,Admin,,,,1,1,69,1
49,2052,VITILIMUS 0.03%,13,0,0,na,0,1,398.87,450,0,0,,fasle,1,a,Admin,,,,1,1,69,1
50,2053,VITILIMUS 0.01%,13,0,0,na,0,1,879.7,1000,0,0,,fasle,1,a,Admin,,,,1,1,69,1
51,2054,Xerosoft Ointment,13,0,0,na,0,1,396.03,450,0,0,,fasle,1,a,Admin,,,,1,1,69,1
52,2055,DICALTROL Capsule,3,0,0,na,0,1,8.84,10,0,0,,fasle,1,a,Admin,,,,1,1,19,1
53,2056,ecap 400 capsule,3,0,0,na,0,1,5.32,6.5,0,0,,fasle,1,a,Admin,,,,1,1,19,1
54,2057,Rational Forte Capsule,3,0,0,na,0,1,1.69,1.93,0,0,,fasle,1,a,Admin,,,,1,1,19,1
55,2058,Aprila 10mg,3,0,0,na,0,1,22,25,0,0,,fasle,1,a,Admin,,,,1,1,19,1
56,2059,Dutamax Capsule,3,0,0,na,0,1,10.6,12,0,0,,fasle,1,a,Admin,,,,1,1,19,1
57,2060,Ursolic 300 Tablet,24,0,0,na,0,1,18.17,21,0,0,,fasle,1,a,Admin,,,,1,1,19,1
58,2062,Elpine MT Gel,7,0,0,na,0,1,670,760,0,0,,fasle,1,a,Admin,,,,1,1,21,1
59,2063,Emoist Lotion,10,0,0,na,0,1,670,760,0,0,,fasle,1,a,Admin,,,,1,1,21,1
60,2064,Clopaz Lotion,10,0,0,na,0,1,484,550,0,0,,fasle,1,a,Admin,,,,1,1,21,1
61,2066,Sebo Plus Shampoo,16,0,0,na,0,1,396,495,0,0,,fasle,1,a,Admin,,,,1,1,16,1
62,2067,Aloe Tar Shampoo,16,0,0,na,0,1,460,575,0,0,,fasle,1,a,Admin,,,,1,1,16,1
63,2068,Tablet Trichotin 1mg,24,0,0,na,0,1,14.4,18,0,0,,fasle,1,a,Admin,,,,1,1,16,1
64,2069,Tablet Trichotin 10mg,24,0,0,na,0,1,22,25,0,0,,fasle,1,a,Admin,,,,1,1,16,1
65,2070,Derma Tar Soap,18,0,0,na,0,1,356,445,0,0,,fasle,1,a,Admin,,,,1,1,16,1
66,2071,Derma Shed Soap,18,0,0,na,0,1,276,345,0,0,,fasle,1,a,Admin,,,,1,1,16,1
67,2072,Derma Moitz Soap,18,0,0,na,0,1,316,395,0,0,,fasle,1,a,Admin,,,,1,1,16,1
68,2073,Derma Sun Lotion,10,0,0,na,0,1,456,570,0,0,,fasle,1,a,Admin,,,,1,1,16,1
69,2074,CD Powder,5,0,0,na,0,1,344,480,0,0,,fasle,1,a,Admin,,,,1,1,16,1
70,2075,C-Ket B Shampoo,16,0,0,na,0,1,535,610,0,0,,fasle,1,a,Admin,,,,1,1,12,1
71,2076,Traxamax KN Cream,5,0,0,na,0,1,1200,1360,0,0,,fasle,1,a,Admin,,,,1,1,12,1
72,2078,C-Touch Face wash,12,0,0,na,0,1,610,690,0,0,,fasle,1,a,Admin,,,,1,1,12,1
73,2082,Bilopa Plus,3,0,0,na,0,1,525,750,0,0,,fasle,1,a,Admin,,,,1,1,44,1
74,2083,Alpha- Beta Cleanser,5,0,0,na,0,1,1100,1240,0,0,,fasle,1,a,Admin,,,,1,1,30,1
75,2087,Terbin 250 mg,24,0,0,na,0,1,51.4,60,0,0,,fasle,1,a,Admin,,,,1,1,46,1
76,2088,Ketocon,16,0,0,na,0,1,201,230,0,0,,fasle,1,a,Admin,,,,1,1,46,1
77,2089,Dermex Oint,13,0,0,na,0,1,66,75,0,0,,fasle,1,a,Admin,,,,1,1,46,1
78,2090,Dermoban Ointment 10gm,13,0,0,na,0,1,113.71,130,0,0,,fasle,1,a,Admin,,,,1,1,46,1
79,2091,Fluvate Oint,13,0,0,na,0,1,43,50,0,0,,fasle,1,a,Admin,,,,1,1,46,1
80,2095,Micronil Lotion,10,0,0,na,0,1,1023,1150,0,0,,fasle,1,a,Admin,,,,1,1,42,1
81,2099,Reona Hair Spray,20,0,0,na,0,1,1330,1500,0,0,,fasle,1,a,Admin,,,,1,1,42,1
82,2100,Scalp Care Lotion,10,0,0,na,0,1,800,900,0,0,,fasle,1,a,Admin,,,,1,1,47,1
83,2101,Clindax-B,7,0,0,na,0,1,112.78,150.45,0,0,,fasle,1,a,Admin,,,,1,1,46,1
84,2103,Sealer Cream,5,0,0,na,0,1,607.2,690,0,0,,fasle,1,a,Admin,,,,1,1,22,1
85,2104,GTKIT Shampoo,16,0,0,na,0,1,695,790,0,0,,fasle,1,a,Admin,,,,1,1,22,1
86,2105,Ritch 180mg,24,0,0,na,0,1,8.8,10,0,0,,fasle,1,a,Admin,,,,1,1,1,1
87,2107,Odazyth 500 mg,24,0,0,na,0,1,30.89,35,0,0,,fasle,1,a,Admin,,,,1,1,1,1
88,2108,Artica,24,0,0,na,0,1,1.76,2,0,0,,fasle,1,a,Admin,,,,1,1,1,1
89,2109,Gabarol 50mg,24,0,0,na,0,1,10.56,12,0,0,,fasle,1,a,Admin,,,,1,1,1,1
90,2110,Gabarol 75mg,24,0,0,na,0,1,14,16,0,0,,fasle,1,a,Admin,,,,1,1,1,1
91,2111,Dermasim Solution,19,0,0,na,0,1,60.02,68,0,0,,fasle,1,a,Admin,,,,1,1,1,1
92,2112,Hexitane Cream,5,0,0,na,0,1,79.21,90,0,0,,fasle,1,a,Admin,,,,1,1,1,1
93,2113,Microsone Cream,5,0,0,na,0,1,35.44,40,0,0,,fasle,1,a,Admin,,,,1,1,1,1
94,2114,Sensitelial Emollient Care,5,0,0,na,0,1,12.3,1400,0,0,,fasle,1,a,Admin,,,,1,1,69,1
95,2115,Parotin,24,0,0,na,0,1,5.28,6,0,0,,fasle,1,a,Admin,,,,1,1,1,1
96,2116,Sensitelial Ultra Rich Bar,18,0,0,na,0,1,608,700,0,0,,fasle,1,a,Admin,,,,1,1,69,1
97,2120,VITIX GEL,7,0,0,na,0,1,1566,1800,0,0,,fasle,1,a,Admin,,,,1,1,69,1
98,2121,VITILISOD,24,0,0,na,0,1,43.47,50,0,0,,fasle,1,a,Admin,,,,1,1,69,1
99,2122,NOVOPHANE LOTION,10,0,0,na,0,1,1043.48,1200,0,0,,fasle,1,a,Admin,,,,1,1,69,1
100,2123,NOVOPHAN CAPSULE,3,0,0,na,0,1,21.74,25,0,0,,fasle,1,a,Admin,,,,1,1,69,1
101,2126,Sunspot SPF 50+ Oil Free,13,0,0,na,0,1,1680,2000,0,0,,fasle,1,a,Admin,,,,1,1,63,1
102,2128,Sapo Soap,18,0,0,na,0,1,392.46,490,0,0,,fasle,1,a,Admin,,,,1,1,26,1
103,2130,Drula Complexion Soap,18,0,0,na,0,1,470,540,0,0,,fasle,1,a,Admin,,,,1,1,26,1
104,2132,Minoximax solution,22,0,0,na,0,1,2190,2434,0,0,,fasle,1,a,Admin,,,,1,1,17,1
105,2133,Biotin DS Shampoo,16,0,0,na,0,1,740.8,945,0,0,,fasle,1,a,Admin,,,,1,1,17,1
106,2134,Sunlock Cream,5,0,0,na,0,1,1070,1395,0,0,,fasle,1,a,Admin,,,,1,1,17,1
